Rank,Movie Title,Worldwide,Domestic,%,Foreign,%
578,Ms. Purple,"$80,657","$80,657",100%,-,-
579,Armstrong,"$80,169","$19,740",24.6%,"$60,429",75.4%
580,End of the Century,"$79,607","$66,309",83.3%,"$13,298",16.7%
581,Christ Stopped at Eboli,"$78,736","$78,736",100%,-,-
582,Fast Colour,"$76,916","$76,916",100%,-,-
583,Greener Grass,"$76,045","$51,456",67.7%,"$24,589",32.3%
584,5B,"$72,968","$72,968",100%,-,-
585,Free Trip to Egypt 2019 Re-release,"$71,087","$71,087",100%,-,-
586,The White Sheik 2019 re-release,"$68,940","$50,850",73.8%,"$18,090",26.2%
587,Last Year at Marienbad 2019 Re-release,"$68,402","$63,425",92.7%,"$4,977",7.3%
588,¡He matado a mi marido!,"$68,017","$45,777",67.3%,"$22,240",32.7%
589,Being Frank,"$67,343","$67,343",100%,-,-
590,The Jesus Rolls,"$64,648","$18,169",28.1%,"$46,479",71.9%
591,Making Waves: The Art of Cinematic Sound,"$63,998","$53,144",83%,"$10,854",17%
592,"Love, Antosha","$62,900","$50,168",79.8%,"$12,732",20.2%
593,The Mountain,"$61,035","$61,035",100%,-,-
594,John Fogerty: 50 Year Trip - Live at Red Rocks,"$59,795","$59,795",100%,-,-
595,Mickey and the Bear,"$57,188","$57,188",100%,-,-
596,Notebook,"$56,166",-,-,"$56,166",100%
597,Vitalina Varela,"$55,862","$14,941",26.7%,"$40,921",73.3%
598,Recorder: The Marion Stokes Project,"$55,632","$55,632",100%,-,-
599,American Dharma,"$51,891","$51,891",100%,-,-
600,Midnight Family,"$51,712","$42,310",81.8%,"$9,402",18.2%
601,Clinton Road,"$50,400","$50,400",100%,-,-
602,Midnight Traveler,"$50,336","$41,265",82%,"$9,071",18%
603,Free Trip to Egypt,"$49,693","$49,693",100%,-,-
604,The Bounty Killer,"$48,815","$48,815",100%,-,-
605,The Queen,"$47,818","$47,818",100%,-,-
606,The Raft,"$47,269","$39,678",83.9%,"$7,591",16.1%
607,High on the Hog,"$45,696","$45,696",100%,-,-
608,The Proposal,"$45,149","$45,149",100%,-,-
609,Celebration,"$44,898","$22,557",50.2%,"$22,341",49.8%
610,What Is Democracy?,"$44,536","$44,536",100%,-,-
611,Maze 2019 Re-release,"$44,381","$44,381",100%,-,-
612,What You Gonna Do When the World's on Fire?,"$44,290","$4,672",10.5%,"$39,618",89.5%
613,Carmine Street Guitars,"$44,253","$44,253",100%,-,-
614,Slut in a Good Way,"$44,240","$40,513",91.6%,"$3,727",8.4%
615,Our Time,"$42,107","$14,777",35.1%,"$27,330",64.9%
616,Union,"$41,656","$41,656",100%,-,-
617,Why Don't You Just Die!,"$40,995",-,-,"$40,995",100%
618,Aniara,"$40,124","$40,124",100%,-,-
619,Zilla and Zoe,"$39,003","$39,003",100%,-,-
620,Shed of the Dead,"$38,901","$38,901",100%,-,-
621,Batman Forever 2019 Re-release,"$38,387","$38,014",99%,$373,1%
622,Loro,"$37,362","$35,613",95.3%,"$1,749",4.7%
623,Memory: The Origins of Alien,"$37,272","$31,378",84.2%,"$5,894",15.8%
624,The Quiet One,"$37,010","$37,010",100%,-,-
625,The Death of Dick Long,"$36,856","$36,856",100%,-,-
626,Ága,"$35,178","$35,178",100%,-,-
627,Killer Unicorn,"$33,901","$33,901",100%,-,-
628,Moonlight Sonata: Deafness in Three Movements,"$33,823","$33,823",100%,-,-
629,Redoubt,"$33,155","$33,155",100%,-,-
630,An Acceptable Loss,"$32,427","$32,427",100%,-,-
631,10E,"$32,413","$32,413",100%,-,-
632,Shooting the Mafia,"$32,042","$10,881",34%,"$21,161",66%
633,Desolation Center,"$32,016","$32,016",100%,-,-
634,Gift,"$31,588","$31,588",100%,-,-
635,The Cat Rescuers,"$31,540","$31,540",100%,-,-
636,Buddy,"$31,203","$31,203",100%,-,-
637,Pasolini 2019 Re-release,"$30,757","$30,757",100%,-,-
638,Los Reyes,"$30,418","$30,418",100%,-,-
639,Lionel Richie at Glastonbury,"$30,123","$30,123",100%,-,-
640,The Perfect Race,"$29,644","$29,644",100%,-,-
641,The Ground Beneath My Feet,"$29,251","$29,251",100%,-,-
642,Batman & Robin 2019 Re-release,"$28,793","$28,597",99.3%,$196,0.7%
643,The Load,"$28,410","$28,410",100%,-,-
644,El Norte 2019 Re-release,"$27,920","$27,920",100%,-,-
645,Bauhaus Spirit: 100 Years of Bauhaus,"$27,768","$17,122",61.7%,"$10,646",38.3%
646,"Leaving Home, Coming Home: A Portrait of Robert Frank","$27,073","$27,073",100%,-,-
647,Wrestle,"$26,597","$26,597",100%,-,-
648,Donnybrook,"$26,284","$26,284",100%,-,-
649,Light from Light,"$24,808","$24,808",100%,-,-
650,Strike,"$24,743","$15,758",63.7%,"$8,985",36.3%
651,Hyenas,"$24,672","$24,672",100%,-,-
652,The Aspern Papers,"$24,554","$9,277",37.8%,"$15,277",62.2%
653,Chasing Einstein,"$24,057","$24,057",100%,-,-
654,Steven Universe: The Movie,"$24,012",-,-,"$24,012",100%
655,Robert the Bruce,"$23,425",-,-,"$23,425",100%
656,Ode to Joy,"$22,594","$17,303",76.6%,"$5,291",23.4%
657,The Sound of Silence,"$21,994","$20,013",91%,"$1,981",9%
658,Wicked Witches,"$21,600","$21,600",100%,-,-
659,Round of Your Life,"$20,941","$20,941",100%,-,-
660,The All Americans,"$20,324","$20,324",100%,-,-
661,General Magic,"$20,046","$20,046",100%,-,-
662,The Gospel of Eureka,"$20,039","$20,039",100%,-,-
663,Scandalous: The True Story of the National Enquirer,"$18,759","$18,759",100%,-,-
